text|date
Can't say I'm looking forward to my coming week oncall in a hospital very close to being overwhelmed... but it'll worth it when I eventually get to my family in Ireland... #nílaontinteánmardothinteánféin  #StayHome|2021-01-10 22:18:43
"Gone to bed early - thought I'd use the spare room tonight💤💤
Good night furrends 🐾Paw-waves🐾&amp; purrs😽
Sleep well &amp; help your Staff #StaySafe #StayHome &amp; #bekindtooneanother  #CatsOfTwitter https://t.co/qxQ6hJa8Am"|2021-01-10 22:18:38
"To the NHS &amp; Critical Key Workers: THANK YOU!!

We'd like to thank all the NHS staff &amp; the Critical Key Workers that have worked so hard &amp; made sacrifices to help keep us safe over the last year.

Thank you from everyone at Savile Rogue!

#stayhome #protectthenhs #savelives https://t.co/l9aWfYDDJM"|2021-01-10 22:17:31
Night night everyone #StayHome and #StaySafe|2021-01-10 22:17:24
"@BradWallActor @KeeKeeWills36 @salesslayer @LeviPer50565975 @Love_LaughMaria @NBrandrui @thedebralamb @claudia_oltean @gladhill_in @HelenLLauren @PRainbird @PamelaMayoss @SimoneillAuthor @davidjbiscoe @pauharri @JulianWhite68 @kat_films @collegefilm @DavidJNann Good Night My Friend 🙏
I wholeheartedly agree with your message Bradley!!
#BritNoirFilms
#StayHome 
#RISER🙏⭐"|2021-01-10 22:17:24
"#healingcolorsmusic #art #music #share #playitloud &gt; ...have a relaxed #sunday friends... #WearAMask
 #StayHome #StaySafe
David Bowie - Five Years https://t.co/QXsvFhfwPE via @YouTube"|2021-01-10 22:15:55
#StayHome Keep complying sheeple. https://t.co/SaNwOf4wGu|2021-01-10 22:15:40
1020pm - The vans in #Surrey urging you to #StayHome , @BrionyLeylandtv + The warning that #Hants  is in a worse position now than at any other stage of the pandemic. @PortsCityMuseum + @dalyhistory &amp; #PortsmouthBlitz80 &amp; @BBCSouthWeather w/ @TheDanDowns - @BBCSouthNews|2021-01-10 22:15:28
"Happy Sunday, Dollsx❣️
•
Staying in, staying safe💖💋
#smallstarjen #StaySafe #StayHome #stayathome #MaskUp #lazysunday #sundayvibes #hellokitty https://t.co/d7k4IoNxP9"|2021-01-10 22:14:49
Staying home. And cosy 🌈@flat_cap_joe #StayHome #Coorie https://t.co/5iQw0XSVjx|2021-01-10 22:13:39
@ZimmerAuthor #StayHome   You didn’t 😢|2021-01-10 22:13:05
@fordnation Keep the elementary schools on line till March break please.  #StaySafe #StayHome|2021-01-10 22:12:55
